id,htmlEquiv,unicode,name,type,script,sortFollowing,decomposition,deprecated,description,syntax,otherNames
206,,FFFD,Unicode replacement character,Miscellaneous,Miscellaneous,,,,Used to replace an incoming character whose value is unknown or unrepresentable in Unicode,,
207,,FFFD,Replacement character for unavailable Dc,Miscellaneous,Miscellaneous,,,,Used to replace an incoming character whose value is not mapped to a Dc (document component),,
208,,1,Start of heading,Control,Controls,,,,,,
209,,2,Start of text,Control,Controls,,,,,,
210,,3,End of text,Control,Controls,,,,,,
211,,4,End of transmission,Control,Controls,,,,,,
212,,5,Enquiry,Control,Controls,,,,,,
213,,6,Acknowledge,Control,Controls,,,,,,
214,,7,Bell,Control,Controls,,,,,,
215,,E,Shift out,Control,Controls,,,,,,
216,,F,Shift in,Control,Controls,,,,,,
217,,10,Data link escape,Control,Controls,,,,,,
218,,11,Device control one,Control,Controls,,,,,,
219,,12,Device control two,Control,Controls,,,,,,
220,,13,Device control three,Control,Controls,,,,,,
221,,14,Device control four,Control,Controls,,,,,,
222,,15,Negative acknowledge,Control,Controls,,,,,,
223,,16,Synchronous idle,Control,Controls,,,,,,
224,,17,End of transmission block,Control,Controls,,,,,,
225,,18,Cancel,Control,Controls,,,,,,
226,,19,End of medium,Control,Controls,,,,,,
227,,1A,Substitute,Control,Controls,,,,,,
228,,1B,Escape,Control,Controls,,,,,,
229,,1C,Information separator four,Control,Controls,,,,,,
230,,1D,Information separator three,Control,Controls,,,,,,
231,,1E,Information separator two,Control,Controls,,,,,,
232,,1F,Information separator one,Control,Controls,,,,,,
233,,2D,Hyphen-minus,Character,Punctuation,,,,,,
234,,7F,Delete,Control,Controls,,,,,,
235,,,Begin document,Miscellaneous,Semantic,,,,Beginning of a document,E:236,
236,,,End document,Miscellaneous,Semantic,,,,,B:235,
237,,,,,,,,,,,
238,,,,,,,,,,,
239,,,,,,,,,,,
240,,,,,,,,,,,
